,Date,Change,Price
432,2/3/88,-3.9%,0.4913256314355631
433,2/4/88,0.2%,0.49230828269843424
434,2/5/88,-1.4%,0.4854159667406562
435,2/8/88,-2.3%,0.47425139950562106
436,2/9/88,3.2%,0.48942744428980095
437,2/10/88,5.8%,0.5178142360586094
438,2/11/88,-0.9%,0.513153907934082
439,2/12/88,2.0%,0.5234169860927637
440,2/16/88,-0.2%,0.5223701521205781
441,2/17/88,1.9%,0.532295185010869
442,2/18/88,-1.6%,0.5237784620506951
443,2/19/88,4.3%,0.546300935918875
444,2/22/88,4.5%,0.5708844780352242
445,2/23/88,-0.7%,0.5668882866889776
446,2/24/88,-0.5%,0.5640538452555327
447,2/25/88,-3.3%,0.5454400683621001
448,2/26/88,1.0%,0.5508944690457211
449,2/29/88,6.0%,0.5839481371884645
450,3/1/88,-0.5%,0.5810283965025221
451,3/2/88,0.9%,0.5862576520710447
452,3/3/88,-0.2%,0.5850851367669027
453,3/4/88,-0.7%,0.5809895408095344
454,3/7/88,0.0%,0.5809895408095344
455,3/8/88,2.3%,0.5943523002481536
456,3/9/88,-0.4%,0.591974891047161
457,3/10/88,-5.9%,0.5570483724753784
458,3/11/88,1.2%,0.563732952945083
459,3/14/88,1.5%,0.5721889472392592
460,3/15/88,-0.4%,0.5699001914503021
461,3/16/88,3.0%,0.5869971971938112
462,3/17/88,2.8%,0.6034331187152379
463,3/18/88,-0.2%,0.6022262524778074
464,3/21/88,-2.7%,0.5859661436609066
465,3/22/88,0.1%,0.5865521098045674
466,3/23/88,0.1%,0.5871386619143719
467,3/24/88,-6.2%,0.5507360648756808
468,3/25/88,-5.4%,0.520996317372394
469,3/28/88,-0.6%,0.5178703394681596
470,3/29/88,2.3%,0.5297813572759272
471,3/30/88,-2.3%,0.5175963860585809
472,3/31/88,0.9%,0.5222547535331081
473,4/4/88,-3.3%,0.5050203466665155
474,4/5/88,2.9%,0.5196659367198444
475,4/6/88,8.0%,0.561239211657432
476,4/7/88,0.8%,0.5657291253506914
477,4/8/88,3.6%,0.5860953738633163
478,4/11/88,0.7%,0.5901980414803595
479,4/12/88,1.3%,0.5978706160196041
480,4/13/88,0.2%,0.5990663572516434
481,4/14/88,-13.2%,0.5199895980944265
482,4/15/88,0.1%,0.5205095876925209
483,4/18/88,-0.8%,0.5163455109909807
484,4/19/88,-1.6%,0.508083982815125
485,4/20/88,-2.0%,0.4979223031588225
486,4/21/88,0.2%,0.49891814776514015
487,4/22/88,4.3%,0.5203716281190411
488,4/25/88,2.7%,0.5344216620782553
489,4/26/88,1.7%,0.5435068303335855
490,4/27/88,-0.2%,0.5424198166729183
491,4/28/88,-1.4%,0.5348259392394974
492,4/29/88,-1.5%,0.526803550150905
493,5/2/88,0.2%,0.5278571572512067
494,5/3/88,1.7%,0.5368307289244773
495,5/4/88,-3.0%,0.5207258070567429
496,5/5/88,-1.6%,0.512394194143835
497,5/6/88,-1.6%,0.5041958870375337
498,5/9/88,-0.9%,0.49965812405419585
499,5/10/88,1.2%,0.5056540215428462
500,5/11/88,-5.1%,0.479865666444161
501,5/12/88,0.6%,0.482744860442826
502,5/13/88,3.4%,0.4991581856978821
503,5/16/88,2.3%,0.5106388239689333
504,5/17/88,-3.7%,0.4917451874820828
505,5/18/88,-4.8%,0.4681414184829428
506,5/19/88,1.4%,0.474695398341704
507,5/20/88,0.4%,0.4765941799350708
508,5/23/88,-2.6%,0.4642027312567589
509,5/24/88,3.2%,0.4790572186569752
510,5/25/88,0.3%,0.48049439031294605
511,5/26/88,1.0%,0.4852993342160755
512,5/27/88,-1.3%,0.4789904428712665
513,5/31/88,10.2%,0.5278474680441357
514,6/1/88,5.2%,0.5552955363824308
515,6/2/88,-1.6%,0.5464108078003119
516,6/3/88,1.3%,0.553514148301716
517,6/6/88,0.5%,0.5562817190432245
518,6/7/88,-2.1%,0.5445998029433168
519,6/8/88,7.1%,0.5832663889522922
520,6/9/88,-1.4%,0.5751006595069601
521,6/10/88,1.1%,0.5814267667615366
522,6/13/88,0.1%,0.582008193528298
523,6/14/88,3.2%,0.6006324557212036
524,6/15/88,0.1%,0.6012330881769248
