Date,Price,High,Low,Close,Adj Close,Volume
2021-07-07,58.924999,59.349998,58.044998,59.23,59.197056,8007600
2021-07-08,56.895,58.119999,56.41,57.814999,57.782845,14217200
2021-07-09,58.439999,59.740002,58.345001,59.619999,59.586842,7475600
2021-07-12,59.584999,60.375,59.400002,60.290001,60.25647,10706800
2021-07-13,59.955002,60.580002,59.529999,59.674999,59.641811,12580200
2021-07-14,60.395,60.595001,59.365002,59.880001,59.846699,11318000
2021-07-15,59.299999,59.615002,58.465,59.275002,59.242035,10190600
2021-07-16,59.82,59.82,57.715,57.904999,57.872795,10763400
2021-07-19,55.814999,56.02,54.119999,55.360001,55.329212,23309200
2021-07-20,55.59,58.209999,55.27,57.724998,57.692894,16256600
2021-07-21,58.215,59.150002,58.130001,59.095001,59.062134,9314000
2021-07-22,59.174999,59.555,58.73,59.48,59.446918,6685400
2021-07-23,60.279999,61.435001,59.990002,61.275002,61.240921,5911200
2021-07-26,61.025002,61.735001,60.994999,61.735001,61.700665,5418800
2021-07-27,61.264999,61.275002,59.625,60.904999,60.871124,8183000
2021-07-28,61.18,61.419998,60.174999,60.805,60.771183,7572200
2021-07-29,61.25,62.035,61.209999,61.560001,61.525764,6752400
2021-07-30,60.415001,61.305,60.355,60.625,60.591282,6612800
2021-08-02,61.395,61.66,60.150002,60.25,60.216492,7308000
2021-08-03,60.605,61.775002,59.654999,61.724998,61.69067,9525600
2021-08-04,61.150002,61.424999,60.724998,60.845001,60.811161,6468200
2021-08-05,61.345001,62.014999,61.195,61.959999,61.925537,5057000
2021-08-06,62.099998,62.459999,61.98,62.310001,62.275345,6092200
2021-08-09,62.264999,62.400002,61.764999,62.115002,62.080456,4908800
2021-08-10,62.294998,62.654999,61.985001,62.305,62.270348,7143600
2021-08-11,62.825001,62.834999,62.299999,62.759998,62.725094,5811400
2021-08-12,62.700001,63.41,62.314999,63.314999,63.279785,6878800
2021-08-13,63.525002,63.695,63.330002,63.665001,63.629593,7744400
2021-08-16,63.119999,64.184998,62.384998,64.139999,64.104324,9265000
2021-08-17,62.955002,63.279999,61.505001,62.900002,62.865017,14781800
2021-08-18,62.415001,63.115002,60.705002,60.834999,60.801163,13303200
2021-08-19,59.555,61.610001,59.529999,61.049999,61.016045,14684400
2021-08-20,61.244999,62.689999,61.025002,62.575001,62.540199,9821200
2021-08-23,63.290001,64.605003,63.290001,64.175003,64.139313,7659400
2021-08-24,64.514999,64.730003,64.254997,64.495003,64.459129,5245000
2021-08-25,64.584999,65.125,64.404999,64.870003,64.833923,5116400
2021-08-26,64.75,64.860001,63.695,63.755001,63.719543,9457000
2021-08-27,64.105003,65.614998,64.080002,65.394997,65.358627,9611400
2021-08-30,65.764999,66.669998,65.650002,66.264999,66.228142,6443600
2021-08-31,66.264999,66.425003,65.735001,66.065002,66.028259,8229400
2021-09-01,66.445,66.690002,66.010002,66.175003,66.138199,9301600
2021-09-02,66.790001,67.105003,66.160004,66.724998,66.687889,6092400
2021-09-03,66.254997,66.904999,65.989998,66.644997,66.607933,7314800
2021-09-07,66.495003,66.535004,65.625,65.959999,65.923317,8460400
2021-09-08,65.68,66.029999,64.794998,65.720001,65.683449,10266400
2021-09-09,65.580002,66.415001,64.735001,64.830002,64.793945,10624400
2021-09-10,65.745003,65.93,63.255001,63.325001,63.28978,12731000
2021-09-13,64.660004,64.785004,62.735001,63.755001,63.719543,18009800
2021-09-14,64.419998,64.519997,62.34,62.764999,62.730091,15547600
2021-09-15,62.924999,64.540001,62.43,64.339996,64.304214,13475000
2021-09-16,64.065002,64.510002,62.650002,63.98,63.944416,13739400
2021-09-17,63.605,63.834999,61.965,62.16,62.125427,18838600
2021-09-20,59.365002,60.084999,56.830002,59.060001,59.027153,25870200
2021-09-21,60.035,60.580002,58.619999,58.889999,58.857246,15171800
2021-09-22,59.845001,61.455002,59.415001,60.555,60.52132,12969600
